,0,1,2,3,Cluster
무안,-2.2598538,-4.1173515,1.5569069,-1.6029313,13
기풍,-0.91420233,-0.91069454,-1.1548927,-1.5041754,13
연말,-2.5270889,-3.6221716,0.7461092,-1.6448789,13
첫사랑,-2.6164846,-0.3606863,0.35338923,-1.7633022,13
보람,-1.9220037,-1.409729,-0.23730265,-1.9526932,13
경직,0.02228465,-2.295517,0.08502318,-0.74533266,13
휴가,-2.898434,-0.9189347,2.3859568,-2.4639006,13
사표,0.15304191,-1.7676029,2.1687787,-3.2324426,13
측은,-0.32053274,-3.3955262,2.6809597,-3.4150424,13
전가,-0.23663963,-2.4038868,1.2419969,-1.0405658,13
직장,-0.13416968,-1.5356163,-1.5819101,-4.105579,13
울분,-1.2994232,-0.8842029,0.50513065,-1.0744787,13
아줌마,-3.1883073,-1.3477057,0.594404,-1.4909539,13
떡볶이,-2.989625,-2.8999012,-0.5883339,-1.0066204,13
박수,-2.602989,-0.37154174,1.8897384,-1.5327735,13
최면,-1.5132127,-1.7129983,-0.12007025,-0.5197783,13
격,-2.4596498,-1.8671174,-0.8068638,-1.3549783,13
존칭,-1.7735621,-0.10180061,0.30064905,-2.4683914,13
고함,-1.8715559,-0.46918496,0.65384054,-1.2272246,13
짜장면,-2.4444098,-2.2105064,-0.027442897,-1.0593159,13
세수,-1.0130776,-3.2002494,-0.57965326,-1.540633,13
일,-2.8756545,-4.45995,4.6272087,-4.0425396,13
퇴근,-1.8238275,-2.9123006,0.700809,-0.4341495,13
트집,-2.0485537,-0.6945415,0.90961134,-1.6616628,13
어이,-3.0524707,-0.2710539,0.30827287,-0.6957529,13
시크,-3.6211948,-2.5894492,2.1307085,-1.7797698,13
예절,-1.3080837,-0.44542035,-1.2822343,-1.785165,13
출근,-0.75833625,-2.5511556,1.5497773,0.09549488,13
실성,-1.3793806,-1.572431,0.26890296,-1.0353026,13
난리,-2.0680473,-1.1407051,0.7384181,-0.7654444,13
주말,-3.8748825,-3.220266,-0.88853896,-1.2373755,13
열심,-0.71528304,-1.3456935,0.49826676,-0.9787907,13
시비,-0.7844551,0.17932706,0.753321,-1.7408658,13
끝,-3.129549,-0.45483387,1.6747445,-1.0856782,13
오더,-2.3522666,-2.9703233,0.6865843,-1.1232377,13
막말,-1.6918492,-1.9063604,0.97379065,-1.1377544,13
무정,-2.6041734,-1.8565315,0.98159254,-1.8001184,13
배고픔,-1.6628608,-0.98642594,-0.5376587,-0.53677285,13
기권,1.1523372,-3.2589428,2.7559178,-0.8188765,13
쌈,-3.8423743,-2.5673888,0.1661066,-1.116399,13
초보,-0.50670266,-1.6812013,-1.3286738,-0.61841035,13
건달,-2.4235768,-1.4995191,0.37455764,-1.3611395,13
애호,-1.0957792,-1.4309136,0.038690384,-0.40332177,13
무표정,-2.5335207,-0.79423785,-0.018430188,-0.5287609,13
선글라스,-3.0158038,-2.0842328,-0.04857834,-0.8592663,13
팩트,-1.9144928,-2.654612,0.1273947,-1.5562341,13
