,0,1,2,3,Cluster
규제,8.804212,-6.7309804,-4.405813,-2.692714,20
거짓,2.491864,4.7843156,1.1957107,-1.4713435,16
권리,10.817867,1.2581447,-4.3135867,-7.0493746,20
잘못,4.7168107,2.86121,0.22636274,0.91986775,7
초보,-0.5062897,-1.684017,-1.3222189,-0.6212335,13
상처,-0.49441567,6.3418345,-1.981831,2.9869633,11
건달,-2.423598,-1.4981761,0.37261462,-1.3605748,13
위탁,3.6635306,-5.1021333,2.336519,-4.95825,3
이용,3.4240673,-7.6552596,0.20490968,11.846143,6
애호,-1.0959214,-1.4283805,0.03444383,-0.3984811,13
수발,0.8859061,-2.7996714,-0.6320024,-2.2741554,14
공존,1.8935406,-1.6930461,-2.173995,1.6724651,10
거지,-3.4608235,0.5446005,1.4203433,-1.7489498,4
살인,-0.2991268,1.5864753,3.5077603,-0.52909595,18
매혹,-1.2468362,-0.88310856,0.8362393,0.30880323,8
각성,0.2734356,1.5566139,-1.3522546,3.2256184,0
경비,2.0491574,-5.9743543,1.1889174,-4.5484824,3
천국,-3.2483609,1.5529667,0.49722514,-1.5841676,4
비교,3.8374748,-4.900231,-3.4787424,10.826933,6
사냥,-2.0390146,2.4946556,0.9289834,4.013992,0
고수,1.4363937,-0.4221546,1.1950297,1.1036127,18
폭력,5.3428354,0.3625974,-3.4723356,-4.0903945,20
무당,-3.2525477,1.8914577,-0.22067636,-1.3813806,4
편지,-1.9995584,5.815564,2.9266498,-5.7680197,4
놀이,-5.4255805,-1.6829681,-3.7629628,0.18578903,1
박자,-3.6693487,-1.761786,-2.4807117,-0.056413475,1
소식,-0.6439214,6.456635,3.7588797,-6.4258294,4
흥,-2.830454,-2.9874668,4.149847,-2.620453,13
유전,0.9617357,-3.1207633,-3.921758,1.3443564,1
잔혹,0.3073681,1.5325617,0.8389956,0.5297496,0
무식,-0.88660794,-0.78187746,0.81035405,0.33313015,8
자폭,-0.900168,-2.3357165,1.3469741,0.8299238,8
섭취,0.88643754,-2.0072684,-2.9303255,8.148138,6
명령,5.7660575,0.9437015,5.117129,-5.043565,9
막말,-1.6920606,-1.9042486,0.96932226,-1.137048,13
돈,-3.1827126,4.032933,3.4398463,-1.5224211,4
심부름,-2.1523938,-0.40825757,1.3166976,-1.0607342,13
도망,-0.6728853,1.741821,5.60998,1.3434987,12
미소,-2.4848778,-0.44971457,-0.3769128,-1.2697175,13
거부,9.045809,0.46183896,6.853884,-2.3930154,9
한탄,0.08790104,1.5209796,2.4984612,1.0416144,0
그만,-2.2175214,1.3177608,1.5551429,0.20780401,8
환영,1.5025295,2.924435,2.5816665,-0.9537341,18
시원,-2.8741927,0.7550938,-1.682412,2.4688015,5
배고픔,-1.6629469,-0.9864513,-0.5386755,-0.5352127,13
무정,-2.6047018,-1.8518231,0.97359455,-1.7995372,13
갈등,5.4813123,2.6855223,-3.1039276,-2.7195354,7
비하,-0.4072324,-6.7550087,-5.7494216,12.383663,6
